This list of contacts was updated on 11/10/2020.
"Note: The contact information needs to be separated into the following columns: contact_id,  first name, last name,  and email."
   
contact_info
"{""contact_id"": 4661, ""name"": ""Cecilia Velasco"", ""email"": ""cecilia.velasco@rodrigues.fr""}"
"{""contact_id"": 3765, ""name"": ""Mariana Ellis"", ""email"": ""mariana.ellis@rossi.org""}"
"{""contact_id"": 4187, ""name"": ""Sofie Woods"", ""email"": ""sofie.woods@riviere.com""}"
"{""contact_id"": 4941, ""name"": ""Jeanette Iannotti"", ""email"": ""jeanette.iannotti@yahoo.com""}"
"{""contact_id"": 2199, ""name"": ""Samuel Sorgatz"", ""email"": ""samuel.sorgatz@gmail.com""}"
"{""contact_id"": 5650, ""name"": ""Socorro Luna"", ""email"": ""socorro.luna@hotmail.com""}"
"{""contact_id"": 5889, ""name"": ""Carolina Murray"", ""email"": ""carolina.murray@knight.com""}"
"{""contact_id"": 4842, ""name"": ""Kayla Moon"", ""email"": ""kayla.moon@yahoo.de""}"
"{""contact_id"": 3280, ""name"": ""Ariadna Geisel"", ""email"": ""ariadna.geisel@rangel.com""}"
"{""contact_id"": 5468, ""name"": ""Danielle Ladeck"", ""email"": ""danielle.ladeck@scalfaro.net""}"
"{""contact_id"": 3064, ""name"": ""Tatiana Thompson"", ""email"": ""tatiana.thompson@hunt.net""}"
"{""contact_id"": 4904, ""name"": ""Caleb Benavides"", ""email"": ""caleb.benavides@rubio.com""}"
"{""contact_id"": 1299, ""name"": ""Sandra Hardy"", ""email"": ""sandra.hardy@web.de""}"
"{""contact_id"": 5602, ""name"": ""Lotti Morris"", ""email"": ""lotti.morris@yahoo.co.uk""}"
"{""contact_id"": 5753, ""name"": ""Reinhilde White"", ""email"": ""reinhilde.white@voila.fr""}"
"{""contact_id"": 4495, ""name"": ""Kerry Patel"", ""email"": ""kerry.patel@hutchinson.com""}"
"{""contact_id"": 4269, ""name"": ""Sophie Antoine"", ""email"": ""sophie.antoine@andersen.com""}"
"{""contact_id"": 2226, ""name"": ""Martha Girard"", ""email"": ""martha.girard@web.de""}"
"{""contact_id"": 1558, ""name"": ""Stephanie King"", ""email"": ""stephanie.king@cervantes.com""}"
"{""contact_id"": 2307, ""name"": ""Amanda Palmer"", ""email"": ""amanda.palmer@didier.fr""}"
"{""contact_id"": 2900, ""name"": ""Lina Alcala"", ""email"": ""lina.alcala@vespa.net""}"
"{""contact_id"": 5695, ""name"": ""Itzel Murphy"", ""email"": ""itzel.murphy@muelichen.de""}"
"{""contact_id"": 5708, ""name"": ""Filippo Parry"", ""email"": ""filippo.parry@live.com""}"
"{""contact_id"": 1663, ""name"": ""Katelyn Cole"", ""email"": ""katelyn.cole@fiebig.com""}"
"{""contact_id"": 3605, ""name"": ""Brian Novak"", ""email"": ""brian.novak@ford.net""}"
